FirstName,LastName,address,contact,email,birthdate,loan

Aditya,Nigade,dehu,9309854483,abc@gmail.com,2019-10-02,50000

Prajakta,Nigade,dehu,9309854483,pc@gmail.com,2019-10-17,5000000

Prajakta,Nigade,dehu,9309854483,pc@gmail.com,2019-10-17,5000000

Prajakta,Nigade,dehu,9309854483,pc@gmail.com,2019-10-17,5000000

Prajakta,Nigade,dehu,9309854483,pc@gmail.com,2019-10-17,5000000

Prajakta,Nigade,dehu,9309854483,pc@gmail.com,2019-10-17,5000000
 
Prajakta,Nigade,dehu,9309854483,pc@gmail.com,2019-10-17,5000000

rutuja,ccc,pune,575453,abc@gmail.com,2019-10-06,200

rutuja,ccc,pune,575453,abc@gmail.com,2019-10-06,200000000

Harshada,Dhumal,bhor,4523235,a@gmail.com,2019-10-22,5000000

Harshada,Dhumal,bhor,4523235,a@gmail.com,2019-10-22,5000000

Harshada,Dhumal,bhor,4523235,a@gmail.com,2019-10-22,5000000

Harshu,dhumal,bhor,56567,a@gmail.com,2019-10-09,500000

Harshu,dhumal,bhor,56567,a@gmail.com,2019-10-09,500000000

